Category,Item,Tier,Responsible Role,Only Applicable if Third Party Collection Exists,Only Applicable if Third Party Disclosure Related,Relevant to 
Inventory and Mapping,"List every software, platform, tool or service used in the organization",1,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"For each listed softwarem, platform, tool or service, identify the owner or operator (internal teams, third-party vendors, partners, etc.)",1,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"For the listed owners or operaters, specify their role (e.g., data controller, data processor).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"For each listed software, platform, tool or service, list the categories of individuals whose data is processed (e.g., customers, employees, prospects).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"For each listed software, platform, tool or service, record the data actions it performs (e.g., collection, storage, transmission, modification).",1,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"Document the purpose for each data action (e.g., marketing, customer support, legal compliance).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Set up a process to review and update the documentation of data actions and their purposes                                                                                                                                                                                                        ,3,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"For each data action, list all specific data elements processed (e.g., names, emails, payment details, health data).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"Document the purpose for each data action (e.g., marketing, customer support, legal compliance).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"Determine where each system processes data (e.g., geographic location, on-premises, cloud, third-party providers).",2,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Define and document the classification criteria used to identify systems as critical based on their support for business priorities.,4,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Define and document the classification criteria used to identify and categorize sensitive personal data.,4,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,"Assign a criticality level to the list of software, platform, tool or service used in the organization",4,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Assign sensitivity level to the list of data items ,4,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Create a visual map of data flows that shows: Data actions and associated data elements; Roles of system owners/operators; Interactions with individuals or third parties,4,Operations Level,FALSE,FALSE,Controller & Processor
Inventory and Mapping,Create an inventory of privacy controls in place,2,Operations Level,FALSE,FALSE,Controller & Processor
Privacy Notice & Policy,"Prepare a dated privacy notice written in clear language that covers the following areas: Purpose for collecting personal information; Choice and consent; Types of personal information collected; Methods of collection (for example, use of cookies or other tracking techniques); Use, retention, and disposal; Access; Disclosure to third parties; Security for privacy; Quality, including data subjects’ responsibilities for quality; Monitoring and enforcement; Entities and Activities; Sources(if not collected from individuals)",2,Process Manager Level & Operations Level,FALSE,FALSE,Controller
